,TITLE,AGENT,ID
18,"XCAST LABS, INC.",COMMERCIAL REGISTERED AGENT,"INCORP SERVICES, INC.
4501 COLEMAN ST
STE 102
BISMARCK, ND  58503"
19,"XCED AVIATION SERVICES, LLC",COMMERCIAL REGISTERED AGENT,"C T CORPORATION SYSTEM
120 W SWEET AVE
BISMARCK, ND  58504"
20,XCEL AG SOLUTIONS LLC,REGISTERED AGENT,"ANTHONY  BAUMGARTNER
1292 56TH ST SE
BRADDOCK, ND  58524-9244"
21,XCEL AGRONOMY LLC,REGISTERED AGENT,"CHRISTOPHER  PERLEBERG
710 17TH ST NW
JAMESTOWN, ND  58401-2241"
22,XCEL AUTOMATION,OWNER NAME,XCEL AUTOMATION & ELECTRIC LLC
23,XCEL AUTOMATION & ELECTRIC LLC,REGISTERED AGENT,"TANNER  COLLETTE
4854 132ND DR NW
WILLISTON, ND  58801"
24,XCEL AVIATION,OWNER NAME,TANNER S COLLETTE
25,XCEL AVIATION LLC,REGISTERED AGENT,"TANNER  COLLETTE
4854 132ND DR NW
WILLISTON, ND  58801"
26,XCEL ENERGY,OWNER NAME,NORTHERN STATES POWER COMPANY
27,XCEL ENERGY INC.,COMMERCIAL REGISTERED AGENT,"CORPORATION SERVICE COMPANY
600 S 2ND ST
STE 155
BISMARCK, ND  58504"
28,XCEL ENERGY SERVICES INC.,COMMERCIAL REGISTERED AGENT,"CORPORATION SERVICE COMPANY
600 S 2ND ST
STE 155
BISMARCK, ND  58504"
29,"XCEL ERECTORS, INC.",COMMERCIAL REGISTERED AGENT,"C T CORPORATION SYSTEM
120 W SWEET AVE
BISMARCK, ND  58504"
30,XCEL HOLDINGS,OWNER NAME,TANNER COLLETTE
31,XCEL HOLDINGS LLC,REGISTERED AGENT,"TANNER  COLLETTE
4854 132ND DR NW
WILLISTON, ND  58801"
32,XCEL NDT LLC,COMMERCIAL REGISTERED AGENT,"SEARCH COMPANY OF NORTH DAKOTA LLC
1709 N 19TH ST STE 3
BISMARCK, ND  58501-2121"
33,"XCEL PROTECTIVE SERVICES, INC.",REGISTERED AGENT,"ELI  OLSON
711 SPRAKER DR
CAVALIER AFS, ND  58220"
34,XCEL TRUCKING LLC,REGISTERED AGENT,"KENNETH  MILLER
717 15TH AVE WEST
WILLISTON, ND  58801"
35,XCELL DRIVING SCHOOL LLP,REGISTERED AGENT,"DAVID J KLINKHAMMER
3315 44TH AVE SW
FARGO, ND  58104-6643"
36,"XCHANGE BENEFITS, LLC",COMMERCIAL REGISTERED AGENT,"3H AGENT SERVICES, INC.
1213 NP AVE N
STE 301
FARGO, ND  58102"
37,XCHANGE TELECOM LLC,COMMERCIAL REGISTERED AGENT,"INCORP SERVICES, INC.
4501 COLEMAN ST
STE 102
BISMARCK, ND  58503"
38,"XCL ASSETCO, LLC",COMMERCIAL REGISTERED AGENT,"C T CORPORATION SYSTEM
120 W SWEET AVE
BISMARCK, ND  58504"
39,"XCL MARKETING, LLC",COMMERCIAL REGISTERED AGENT,"C T CORPORATION SYSTEM
120 W SWEET AVE
BISMARCK, ND  58504"
40,"XCL RESOURCES, LLC",COMMERCIAL REGISTERED AGENT,"C T CORPORATION SYSTEM
120 W SWEET AVE
BISMARCK, ND  58504"
41,"XCL ROYALTYCO, LLC",COMMERCIAL REGISTERED AGENT,"C T CORPORATION SYSTEM
120 W SWEET AVE
BISMARCK, ND  58504"
42,"XCLOUD, LLC",COMMERCIAL REGISTERED AGENT,"REGISTERED AGENT SOLUTIONS, INC.
1709 N 19TH ST STE 3
BISMARCK, ND  58501-2121"
43,XCLUSIVE APPAREL,OWNER NAME,SHOES 'N' SUCH LLP
44,XCMG AMERICA FINANCIAL LLC,REGISTERED AGENT,"VCORP SERVICES, LLC
120 W SWEET AVE
BISMARCK, ND  58504-5566"
45,"XCONNECT, LLC",COMMERCIAL REGISTERED AGENT,"INCORP SERVICES, INC.
4501 COLEMAN ST
STE 102
BISMARCK, ND  58503"
46,XDATAK LLC,COMMERCIAL REGISTERED AGENT,"AAA NORTH DAKOTA REGISTERED AGENT LLC
3003 32ND AVE S STE 240
FARGO, ND  58103"
47,XDP DIGITAL LLC,REGISTERED AGENT,"KIMBERLY  BRAUN
97 1ST ST E
DICKINSON, ND  58601"
48,XE USA,OWNER NAME,"CONTINENTAL EXCHANGE SOLUTIONS, INC."
49,XEBEC SYSTEMS USA LLC,COMMERCIAL REGISTERED AGENT,"INCORP SERVICES, INC.
4501 COLEMAN ST
STE 102
BISMARCK, ND  58503"
50,"XEBU, LLC",REGISTERED AGENT,"CORPORATE SERVICE CENTER, INC.
33 S 3RD ST STE D-15
GRAND FORKS, ND  58201"
51,XECARE LLC,COMMERCIAL REGISTERED AGENT,"CAPITOL CORPORATE SERVICES, INC.
1213 NP AVE
STE 301
FARGO, ND  58102"
52,"XENCOM ENERGY MANAGEMENT, LLC",COMMERCIAL REGISTERED AGENT,"REGISTERED AGENT SOLUTIONS, INC.
1709 N 19TH ST STE 3
BISMARCK, ND  58501-2121"
53,XENEX DISINFECTION SERVICES INC.,COMMERCIAL REGISTERED AGENT,"INCORP SERVICES, INC.
4501 COLEMAN ST
STE 102
BISMARCK, ND  58503"
54,"XENITH, LLC",COMMERCIAL REGISTERED AGENT,"UNITED AGENT GROUP INC.
1709 N 19TH ST #3
BISMARCK, ND  58501-2121"
55,XERCOR INSURANCE SERVICES LLC,COMMERCIAL REGISTERED AGENT,"COGENCY GLOBAL INC.
120 W SWEET AVE STE 9
BISMARCK, ND  58504"
56,"XERIS PHARMACEUTICALS, INC.",COMMERCIAL REGISTERED AGENT,"C T CORPORATION SYSTEM
120 W SWEET AVE
BISMARCK, ND  58504"
57,XEROX CORPORATION,COMMERCIAL REGISTERED AGENT,"THE PRENTICE-HALL CORPORATION SYSTEM, INC.
600 S 2ND ST
STE 155
BISMARCK, ND  58504"
58,XEROX FINANCIAL SERVICES LLC,COMMERCIAL REGISTERED AGENT,"CORPORATION SERVICE COMPANY
600 S 2ND ST
STE 155
BISMARCK, ND  58504"
59,"XETA TECHNOLOGIES, INC.",COMMERCIAL REGISTERED AGENT,"REGISTERED AGENT SOLUTIONS, INC.
1709 N 19TH ST STE 3
BISMARCK, ND  58501-2121"
60,XFINITY HOME,OWNER NAME,"COMCAST BROADBAND SECURITY, LLC"
61,"X-GEN PHARMACEUTICALS, INC.",COMMERCIAL REGISTERED AGENT,"INCORP SERVICES, INC.
4501 COLEMAN ST
STE 102
BISMARCK, ND  58503"
62,"XGP PROPERTIES, LLC",REGISTERED AGENT,"GEORGE  POITRA
3612 GRAYSON DR
BURLINGTON, ND  58722-9541"
63,"XH, LLC",COMMERCIAL REGISTERED AGENT,"CORPORATION SERVICE COMPANY
600 S 2ND ST
STE 155
BISMARCK, ND  58504"
64,"XIE XIE, LLC",REGISTERED AGENT,"CINDY  O'DAY
2991 PETERSON PKWY NE
FARGO, ND  58102-1752"
65,"XILAJU, LLC",REGISTERED AGENT,"JUAN  ULLOA
1935 HARBOR DR
BISMARCK, ND  58504"
66,"XIPHOS TECHNICAL SERVICES, LLC",REGISTERED AGENT,"DARIN K POWELL
198 BERTHOLD ST
PO BOX 8
PLAZA, ND  58771-0008"
67,XIULING INC,REGISTERED AGENT,"XIULING  WU
4323 45TH ST S
STE 105
FARGO, ND  58104"
68,XKULSIV KICKZ LLC,COMMERCIAL REGISTERED AGENT,"USCA, INC.
1709 N 19TH ST
STE 3
BISMARCK, ND  58501"
69,XL FARMS,OWNERS,"COREY K GETZLAFF
14079 41ST ST NW
ALEXANDER, ND 58831-8719"
70,"XL HOMES, CORP.",REGISTERED AGENT,"DAN  MASSETH
2695 28TH ST
MANDAN, ND  58554-8005"
71,"XL INDUSTRIAL SERVICES, INC.",COMMERCIAL REGISTERED AGENT,"CORPORATION SERVICE COMPANY
600 S 2ND ST
STE 155
BISMARCK, ND  58504"
72,XL LOGISTICS LLC,REGISTERED AGENT,"MOHAMED  GARAAR
1323 23RD ST S
STE K
FARGO, ND  58103"
73,"XL TRANSPORT, LLC",REGISTERED AGENT,"COREY  GETZLAFF
14079 41ST ST NW
ALEXANDER, ND  58831-8719"
74,"XLHOME, P.C. (DBA HOME HEALTH ASSESSMENTS OF NORTH DAKOTA, P.C.)",COMMERCIAL REGISTERED AGENT,"C T CORPORATION SYSTEM
120 W SWEET AVE
BISMARCK, ND  58504"
75,"XLT MANAGEMENT SERVICES, INC.",COMMERCIAL REGISTERED AGENT,"C T CORPORATION SYSTEM
120 W SWEET AVE
BISMARCK, ND  58504"
76,XLT TAXI,OWNER NAME,"X-RAY LIMA TANGO, LLC"
77,XLT TRANSPORT,OWNER NAME,"X-RAY LIMA TANGO, LLC"
78,XLXF LLC,REGISTERED AGENT,"KIER  FUNKHOUSER
901 42ND ST S
APT 213
FARGO, ND  58103"
79,"XM ACRES, LLP",REGISTERED AGENT,"MICHAEL  BERG
216 1ST ST SE
TAPPEN, ND  58487"
80,XM42,OWNER NAME,ROUGHRIDER ARMS LLC
81,XMODN SECURITY LLC,COMMERCIAL REGISTERED AGENT,"REGISTERED AGENTS INC
3003 32ND AVE S STE 240
FARGO, ND  58108"
82,XN FINANCIAL SERVICES INC.,COMMERCIAL REGISTERED AGENT,"REGISTERED AGENT SOLUTIONS, INC.
1709 N 19TH ST STE 3
BISMARCK, ND  58501-2121"
83,XO BEAUTY,OWNER NAME,ASHLEY MACK
84,"XO COMMUNICATIONS SERVICES, LLC",COMMERCIAL REGISTERED AGENT,"C T CORPORATION SYSTEM
120 W SWEET AVE
BISMARCK, ND  58504"
85,XO SKINCARE LLC,REGISTERED AGENT,"ANABEL  ANDRADE
503 19TH ST SE
MINOT, ND  58701-4153"
86,XOME FIELD SERVICES LLC,COMMERCIAL REGISTERED AGENT,"CORPORATION SERVICE COMPANY
600 S 2ND ST
STE 155
BISMARCK, ND  58504"
87,XOME INC.,COMMERCIAL REGISTERED AGENT,"CORPORATION SERVICE COMPANY
600 S 2ND ST
STE 155
BISMARCK, ND  58504"
88,XOME REALTY SERVICES LLC,COMMERCIAL REGISTERED AGENT,"CORPORATION SERVICE COMPANY
600 S 2ND ST
STE 155
BISMARCK, ND  58504"
89,XOME VALUATIONS,OWNER NAME,"VOXTUR APPRAISAL SERVICES, LLC"
90,XOXO L.L.C.,COMMERCIAL REGISTERED AGENT,"REGISTERED AGENTS INC
3003 32ND AVE S STE 240
FARGO, ND  58108"
91,"XOXO, PHOENIIX LLC",REGISTERED AGENT,"STACY  THOMAS
4421 12TH ST W
APT 107
DICKINSON, ND  58601"
92,XP SYSTEMS CORPORATION,COMMERCIAL REGISTERED AGENT,"CORPORATION SERVICE COMPANY
600 S 2ND ST
STE 155
BISMARCK, ND  58504"
93,XPERIENCE BARBERS,OWNER NAME,DELSON SAINTAL
94,XPERIENCE BARBERS LLC,REGISTERED AGENT,"DELSON  SAINTAL
1781 39TH ST S
APT 308
FARGO, ND  58103"
95,XPERIENCE HEALTH & FITNESS,OWNER NAME,XPERIENCE HEALTH & FITNESS LLC
96,XPERIENCE HEALTH & FITNESS LLC,REGISTERED AGENT,"DARCY D REIS
442 JEROME ST
PEMBINA, ND  58271"
97,"XPERIENCE TITLE, LLC",COMMERCIAL REGISTERED AGENT,"COGENCY GLOBAL INC.
120 W SWEET AVE STE 9
BISMARCK, ND  58504"
98,XPERT DRYWALL LLC,COMMERCIAL REGISTERED AGENT,"NORTHWEST REGISTERED AGENT SERVICE, INC.
3003 32ND AVE S STE 240
FARGO, ND  58103-6118"
99,XPERT ENTERPRISES LLC,REGISTERED AGENT,"RACHAEL  NADEAU
2609 HERITAGE DR
MINOT, ND  58703-1660"
100,"XPERT XTERIORS, LLC",REGISTERED AGENT,"PHILIP L MAENZA
1531 SUNTREE DR
WEST FARGO, ND  58078"
101,XPI LLC,REGISTERED AGENT,"ERIC  OLSON
915 4TH AVE S
FARGO, ND  58103-1714"
102,"XPO LAST MILE, INC.",COMMERCIAL REGISTERED AGENT,"REGISTERED AGENT SOLUTIONS, INC.
1709 N 19TH ST STE 3
BISMARCK, ND  58501-2121"
103,"XPO LOGISTICS FREIGHT, INC.",COMMERCIAL REGISTERED AGENT,"REGISTERED AGENT SOLUTIONS, INC.
1709 N 19TH ST STE 3
BISMARCK, ND  58501-2121"
104,"XPO NAT SOLUTIONS, LLC",COMMERCIAL REGISTERED AGENT,"REGISTERED AGENT SOLUTIONS, INC.
1709 N 19TH ST STE 3
BISMARCK, ND  58501-2121"
105,XPON INTERNATIONAL LLC,COMMERCIAL REGISTERED AGENT,"LEGALINC CORPORATE SERVICES INC.
1709 N 19TH ST
STE 3
BISMARCK, ND  58501"
106,XPONET (DBA XPONET CORPORATION),COMMERCIAL REGISTERED AGENT,"INCORP SERVICES, INC.
4501 COLEMAN ST
STE 102
BISMARCK, ND  58503"
107,XPRESS BLASTING LLC,REGISTERED AGENT,"WILLIAM  FRANKLIN
2268 21ST AVE NE
MEKINOCK, ND  58258-9636"
108,XPRESS MONEY,OWNER NAME,MONEYDART GLOBAL SERVICES INC.
109,XPRESS PAINTING SOLUTIONS LLC,COMMERCIAL REGISTERED AGENT,"USCA, INC.
1709 N 19TH ST
STE 3
BISMARCK, ND  58501"
110,"XPRESSDOCS GP, LLC",COMMERCIAL REGISTERED AGENT,"CORPORATION SERVICE COMPANY
600 S 2ND ST
STE 155
BISMARCK, ND  58504"
111,"XPRESSDOCS PARTNERS, LTD. (DBA XPRESSDOCS PARTNERS, LTD., A TEXAS LP)",COMMERCIAL REGISTERED AGENT,"CORPORATION SERVICE COMPANY
600 S 2ND ST
STE 155
BISMARCK, ND  58504"
112,"XPRESSDOCS PARTNERS, LTD., A TEXAS LP",OWNER NAME,"XPRESSDOCS PARTNERS, LTD."
113,"XPT PARTNERS, LLC",COMMERCIAL REGISTERED AGENT,"3H AGENT SERVICES, INC.
1213 NP AVE N
STE 301
FARGO, ND  58102"
114,XQUISITE CONSTRUCTION LLC,REGISTERED AGENT,"BRYCE ANDERSON & ASSOCIATES, PLLC
1461 BROADWAY N
STE 103
FARGO, ND  58102"
115,"XR SOLUTIONS, LLC",COMMERCIAL REGISTERED AGENT,"MONTGOMERY & PENDER, P.C.
5630 34TH AVE S
STE 120
FARGO, ND  58104"
116,"X-RAY LIMA TANGO, LLC",REGISTERED AGENT,"CORY  KUNERTH
218 1ST AVE S
JAMESTOWN, ND  58401"
117,XRQ CORP.,COMMERCIAL REGISTERED AGENT,"NORTHWEST REGISTERED AGENT SERVICE, INC.
3003 32ND AVE S STE 240
FARGO, ND  58103-6118"
118,XS AUTOMATION,OWNER NAME,JEROME M HINDS
119,"XS DAKOTA, LLC",COMMERCIAL REGISTERED AGENT,"JAMES R. BULLIS, P.C.
3280 VETERANS BLVD
STE 303
FARGO, ND  58104"
120,XSIDING XTERIORS LLC,REGISTERED AGENT,"DALE  PIETRUSZEWSKI
15075 56TH ST SE
LEONARD, ND  58052-9405"
121,XSTREAM CLEAN CAR WASH,OWNER NAME,"KARLGAARD ENTERPRISES, LLC"
122,"XSTREAM PROPERTIES, LLP",REGISTERED AGENT,"LYNN  JOHNSTON
1422 E BROADWAY
BISMARCK, ND  58501-4664"
123,XSTREME MD,OWNER NAME,"LIFE LINE TECHNOLOGIES, LLC"
124,"XTDIRECT, LLC",COMMERCIAL REGISTERED AGENT,"AAA NORTH DAKOTA REGISTERED AGENT LLC
3003 32ND AVE S STE 240
FARGO, ND  58103"
125,X-TECH LLC,COMMERCIAL REGISTERED AGENT,"VOGEL LAW FIRM, LTD.
218 NP AVE
PO BOX 1389
FARGO, ND  58107"
126,X-TERIOR SOLUTIONS,OWNER NAME,TRAVIS C TOEPKE
127,XTO ENERGY INC.,COMMERCIAL REGISTERED AGENT,"CORPORATION SERVICE COMPANY
600 S 2ND ST
STE 155
BISMARCK, ND  58504"
128,"XTO HOLDINGS, LLC",COMMERCIAL REGISTERED AGENT,"CORPORATION SERVICE COMPANY
600 S 2ND ST
STE 155
BISMARCK, ND  58504"
129,XTO OFFSHORE INC.,COMMERCIAL REGISTERED AGENT,"CORPORATION SERVICE COMPANY
600 S 2ND ST
STE 155
BISMARCK, ND  58504"
130,XTOP LANGUAGE EDUCATION SERVICES,OWNER NAME,CHRISTOPHER NWACHUKWU
131,XTRA APPAREL CO LLC,REGISTERED AGENT,"NORTH DAKOTA REGISTERED AGENT SERVICES LLC
1709 N 19TH ST STE 3
BISMARCK, ND  58501-2121"
132,"XTRA PROPERTIES, LLC",REGISTERED AGENT,"SHERLEEN  LARSON
2826 WESTGATE DR
FARGO, ND  58103-3526"
133,XTRALIGHT MANUFACTURING LP,OWNER NAME,"XTRALIGHT MANUFACTURING, LTD."
134,"XTRA-OFFICE, INC.",REGISTERED AGENT,"TRACIE  DAY
1720 BURNT BOAT DRIVE STE 205
BISMARCK, ND  58503"
135,XTRAVAGANT ELEGANCE,OWNER NAME,"XIOMARA A. URIBE, ECATERINA M. QUINTANA"
136,XTREME AUTO DETAILZ,OWNER NAME,SCOTT A KRAFT
137,"XTREME AUTO, INC.",REGISTERED AGENT,"MARK L SCHUMACHER
2713 HWY 281 S
JAMESTOWN, ND  58401-6611"
138,XTREME BUILDERS,OWNER NAME,JOSH JELINEK
139,XTREME CARPET CLEANING LLC,REGISTERED AGENT,"ALDIN  MEHUKIC
2790 5TH AVE SW
STE B
FARGO, ND  58103"
140,X-TREME DETAILING,OWNER NAME,WILL A SIRY
141,X-TREME DETAILING LLC,REGISTERED AGENT,"WILLIAM A SIRY
961 41ST AVE W
WEST FARGO, ND  58078"
142,"XTREME DRILLING, LLC",COMMERCIAL REGISTERED AGENT,"INCORP SERVICES, INC.
4501 COLEMAN ST
STE 102
BISMARCK, ND  58503"
143,XTREME ELECTRIC INC,REGISTERED AGENT,"DEREK  WANZEK
7611 AQUARIUS DR
FARGO, ND  58104-7926"
144,"XTREME ELECTRICAL SERVICES, INC. (DBA X ELECTRIC)",COMMERCIAL REGISTERED AGENT,"PARACORP INCORPORATED
1709 N 19TH ST STE 3
BISMARCK, ND  58501-2121"
145,"XTREME FIRE PROTECTION, LLC",COMMERCIAL REGISTERED AGENT,"INCORP SERVICES, INC.
4501 COLEMAN ST
STE 102
BISMARCK, ND  58503"
146,"X-TREME FITNESS, LLC",REGISTERED AGENT,"SCOTT  SCHMIDT
208 6TH AVE E
LISBON, ND  58054-4610"
147,XTREME INSTALLATION LLC,REGISTERED AGENT,"DAVID  RODRIGUEZ
2740 SIMS ST
STE A
DICKINSON, ND  58601"
148,XTREME INSTALLATIONS,OWNER NAME,DAVID RODRIGUEZ
149,XTREME INVESTMENTS INC,COMMERCIAL REGISTERED AGENT,"C T CORPORATION SYSTEM
120 W SWEET AVE
BISMARCK, ND  58504"
150,XTREME LIGHTING,OWNERS,"CHARLES DOSH
121 3RD AVE E
WEST FARGO, ND 58078-1820"
151,X-TREME OUTFITTERS,OWNER NAME,COREY GULKE
152,XTREME PRODUCTS LLC,REGISTERED AGENT,"GREG  PFAFF
209 3RD AVE
PO BOX 64
ENDERLIN, ND  58027-0064"
153,XTREME SIGNS & GRAPHIX,OWNERS,"CRAIG NICHOLAS THOMAS
8482 HIGHWAY 2
DEVILS LAKE, ND 58301-8742"
154,XTREME TRANSPORT LOGISTICS LLC,REGISTERED AGENT,"MARK W WRIGHT
1940 S BROADWAY # 406
MINOT, ND  58701"
155,XTREME TROPHY PROPERTIES,OWNER NAME,"HAWLEY REALTY, INC."
156,XTREME XTERIORS LLC,COMMERCIAL REGISTERED AGENT,"AAA NORTH DAKOTA REGISTERED AGENT LLC
3003 32ND AVE S STE 240
FARGO, ND  58103"
157,"XTS HOLDINGS, LLC",REGISTERED AGENT,"DARIN  POWELL
198 BERTHOLD ST
PLAZA, ND  58771"
158,"XTTRIUM LABORATORIES, INC.",COMMERCIAL REGISTERED AGENT,"INCORP SERVICES, INC.
4501 COLEMAN ST
STE 102
BISMARCK, ND  58503"
159,XXI CENTURY LTD.,REGISTERED AGENT,"TODD J SCHULZ
1732 N 5TH ST
BISMARCK, ND  58501-1801"
160,"XYLEM DEWATERING SOLUTIONS, INC.",COMMERCIAL REGISTERED AGENT,"C T CORPORATION SYSTEM
120 W SWEET AVE
BISMARCK, ND  58504"
161,"XYLEM WATER SOLUTIONS U.S.A., INC.",COMMERCIAL REGISTERED AGENT,"C T CORPORATION SYSTEM
120 W SWEET AVE
BISMARCK, ND  58504"
162,XYMTEC INDUSTRIES LLC,REGISTERED AGENT,"ANDREW  SANDVIK
409 FOXTAIL DR
WEST FARGO, ND  58078"
163,XYZ LLC,REGISTERED AGENT,"DAVID  SATROM
711 1ST AVE N # 4
JAMESTOWN, ND  58401"
164,"XZILON, INC.",COMMERCIAL REGISTERED AGENT,"CORPORATION SERVICE COMPANY
600 S 2ND ST
STE 155
BISMARCK, ND  58504"
